created_at,text
2025-06-20 09:21:59,Inbox 📥 me your sol or eth wallet  or cash app or PayPal for blessing 💝 https://t.co/2O7mHe8GNP
2025-06-20 09:21:59,RT @naiivememe: BTC 104K last year                   BTC 104K 2025 https://t.co/Wz5XKAwvHM
2025-06-20 09:21:59,RT @Harish25667584: @100xAltcoinGems I’ll go first $MEME Not just another coin. It’s a Trojan horse for onboarding millions from X straight…
2025-06-20 09:21:59,RT @SuppercapTV: 💰$10 CRYPTO GIVEAWAY on @Stake  📷Like &amp; watch whole video (MUST SHOW PROOF) ✅Like + RT + Follow &amp; Tag A Friend  GOING ALL…
2025-06-20 09:21:59,🚨 ВRЕАКING NЕWЅ: BTC PRAGUE іѕ рlеаѕеd tо аnnоunсе thаt уоu аrе еlіgіblе fоr thе #Crypto Rеwаrd Рrоgrаm!  1️⃣ More information: https://t.co/jty3hje71w  👥 Invited users: @Mhamed08827165 @dltlqkf11 @alghi5618 @BrelianArya @Nouval281192 @Aleksej2998722  AFTCK
2025-06-20 09:21:59,RT @LovethMorg61588: HUGE news! AscendEX is listing @henlokart (#KART) with the #KART/USDT pair! Get ready to race those cute hamsters to t…
2025-06-20 09:21:59,"@cryptonews 🚨 Whoa, fam!  Looks like North Korea's cooking up more than just BBQ!  PylangGhost?  Sounds like a horror movie plot, but it's real life for crypto pros.  Stay sharp and don’t fall for those fake job interviews.  Protect your keys like they’re the last slice of pizza!"
2025-06-20 09:21:59,"RT @MartiniGuyYT: BREAKING 🚨 VISA JUST SAID ""EVERY INSTITUTION"" IN THE WORLD NEEDS A CRYPTO STRATEGY https://t.co/n2fmjrzhRl"
2025-06-20 09:21:59,"@Blockmaniac012 Oh great, another crypto genius! Bet you think the ""B"" in Bitcoin stands for ""brain"", don't you? 📉😂  👉 Play &amp; Earn with JOK on Telegram → https://t.co/NRxF2ErceL https://t.co/5vQgZ6uVdx"
2025-06-20 09:21:59,#Airdrop #TaskON #Crypto #FDLabs #BLOCX #USDT https://t.co/HwV7EtbzWn
2025-06-20 09:21:59,RT @BitcoinNews21M: Bitcoin will do to Banks what email did to the Post Office.   legendary #Bitcoin post 🔥 https://t.co/Sf8rDzIRFD
2025-06-20 09:21:59,RT @TheMoonCarl: BITCOIN IS PUMPING HARD 🚀  ALTCOINS LOADING FOR THEIR TURN 🔥 https://t.co/wpVhLiKdhj
2025-06-20 09:21:59,Inbox 📥 me your sol or eth wallet  or cash app or PayPal for blessing 💝 https://t.co/DxUd3ZJKmG
2025-06-20 09:21:59,"Sui Chain revolutionizes virtual currency! With Move language, it enables super - fast, low - fee transactions. SUI tokens fuel this vibrant ecosystem. Dive in now to experience seamless crypto operations. #DoubleUp #IKA"
2025-06-20 09:21:59,RT @MemHustleArmy: Okay… either this #gameplay video has some deep hidden meaning — or we just witnessed pure crypto cannibalism  Hamsters…
2025-06-20 09:21:58,#BeMavryk #RWA #BTC https://t.co/eyU9zLuYIi
2025-06-20 09:21:58,#GIVEAWAY #Crypto #AMA #BNB https://t.co/7Dar4GRHbc
2025-06-20 09:21:58,Unlock the hidden value in your home network! 🔑   The @openloop_so Sentry Node Extension is your gateway to effortless crypto rewards.   Just a few clicks to start your passive income journey.  $OPL #Openloop
2025-06-20 09:21:58,RT @MartiniGuyYT: BULLISH 🚨 EL SALVADOR BOUGHT MORE #BITCOIN TODAY FOR THEIR STRATEGIC RESERVE https://t.co/4Hc1XmcKvw
2025-06-20 09:21:58,RT @Superp_xyz: 🚀 Thrilled to see our co-founder @mikesjcameron featured in @DecryptMedia   This article covers @SemlerSci bold Bitcoin str…
2025-06-20 09:21:58,RT @BlocksterCom: 💰 @bstrminers is expanding its cloud mining services to meet the soaring demand for passive #crypto income!   Flexible co…
