created_at,text,cleaned_text,predicted_sentiment
2025-06-20 09:21:59,Inbox 📥 me your sol or eth wallet  or cash app or PayPal for blessing 💝 https://t.co/2O7mHe8GNP,inbox 📥 me your sol or eth wallet  or cash app or paypal for blessing 💝 https://t.co/2o7mhe8gnp,neutral
2025-06-20 09:21:59,RT @naiivememe: BTC 104K last year                   BTC 104K 2025 https://t.co/Wz5XKAwvHM,rt @naiivememe: btc 104k last year                   btc 104k 2025 https://t.co/wz5xkawvhm,neutral
2025-06-20 09:21:59,RT @Harish25667584: @100xAltcoinGems I’ll go first $MEME Not just another coin. It’s a Trojan horse for onboarding millions from X straight…,rt @harish25667584: @100xaltcoingems i’ll go first $meme not just another coin. it’s a trojan horse for onboarding millions from x straight…,neutral
2025-06-20 09:21:59,RT @SuppercapTV: 💰$10 CRYPTO GIVEAWAY on @Stake  📷Like &amp; watch whole video (MUST SHOW PROOF) ✅Like + RT + Follow &amp; Tag A Friend  GOING ALL…,rt @suppercaptv: 💰$10 crypto giveaway on @stake  📷like &amp; watch whole video (must show proof) ✅like + rt + follow &amp; tag a friend  going all…,neutral
2025-06-20 09:21:59,🚨 ВRЕАКING NЕWЅ: BTC PRAGUE іѕ рlеаѕеd tо аnnоunсе thаt уоu аrе еlіgіblе fоr thе #Crypto Rеwаrd Рrоgrаm!  1️⃣ More information: https://t.co/jty3hje71w  👥 Invited users: @Mhamed08827165 @dltlqkf11 @alghi5618 @BrelianArya @Nouval281192 @Aleksej2998722  AFTCK,🚨 вrеакing nеwѕ: btc prague іѕ рlеаѕеd tо аnnоunсе thаt уоu аrе еlіgіblе fоr thе #crypto rеwаrd рrоgrаm!  1️⃣ more information: https://t.co/jty3hje71w  👥 invited users: @mhamed08827165 @dltlqkf11 @alghi5618 @brelianarya @nouval281192 @aleksej2998722  aftck,negative
2025-06-20 09:21:59,RT @LovethMorg61588: HUGE news! AscendEX is listing @henlokart (#KART) with the #KART/USDT pair! Get ready to race those cute hamsters to t…,rt @lovethmorg61588: huge news! ascendex is listing @henlokart (#kart) with the #kart/usdt pair! get ready to race those cute hamsters to t…,positive
2025-06-20 09:21:59,"@cryptonews 🚨 Whoa, fam!  Looks like North Korea's cooking up more than just BBQ!  PylangGhost?  Sounds like a horror movie plot, but it's real life for crypto pros.  Stay sharp and don’t fall for those fake job interviews.  Protect your keys like they’re the last slice of pizza!","@cryptonews 🚨 whoa, fam!  looks like north korea's cooking up more than just bbq!  pylangghost?  sounds like a horror movie plot, but it's real life for crypto pros.  stay sharp and don’t fall for those fake job interviews.  protect your keys like they’re the last slice of pizza!",positive
2025-06-20 09:21:59,"RT @MartiniGuyYT: BREAKING 🚨 VISA JUST SAID ""EVERY INSTITUTION"" IN THE WORLD NEEDS A CRYPTO STRATEGY https://t.co/n2fmjrzhRl","rt @martiniguyyt: breaking 🚨 visa just said ""every institution"" in the world needs a crypto strategy https://t.co/n2fmjrzhrl",neutral
2025-06-20 09:21:59,"@Blockmaniac012 Oh great, another crypto genius! Bet you think the ""B"" in Bitcoin stands for ""brain"", don't you? 📉😂  👉 Play &amp; Earn with JOK on Telegram → https://t.co/NRxF2ErceL https://t.co/5vQgZ6uVdx","@blockmaniac012 oh great, another crypto genius! bet you think the ""b"" in bitcoin stands for ""brain"", don't you? 📉😂  👉 play &amp; earn with jok on telegram → https://t.co/nrxf2ercel https://t.co/5vqgz6uvdx",positive
2025-06-20 09:21:59,#Airdrop #TaskON #Crypto #FDLabs #BLOCX #USDT https://t.co/HwV7EtbzWn,#airdrop #taskon #crypto #fdlabs #blocx #usdt https://t.co/hwv7etbzwn,neutral
2025-06-20 09:21:59,RT @BitcoinNews21M: Bitcoin will do to Banks what email did to the Post Office.   legendary #Bitcoin post 🔥 https://t.co/Sf8rDzIRFD,rt @bitcoinnews21m: bitcoin will do to banks what email did to the post office.   legendary #bitcoin post 🔥 https://t.co/sf8rdzirfd,neutral
2025-06-20 09:21:59,RT @TheMoonCarl: BITCOIN IS PUMPING HARD 🚀  ALTCOINS LOADING FOR THEIR TURN 🔥 https://t.co/wpVhLiKdhj,rt @themooncarl: bitcoin is pumping hard 🚀  altcoins loading for their turn 🔥 https://t.co/wpvhlikdhj,neutral
2025-06-20 09:21:59,Inbox 📥 me your sol or eth wallet  or cash app or PayPal for blessing 💝 https://t.co/DxUd3ZJKmG,inbox 📥 me your sol or eth wallet  or cash app or paypal for blessing 💝 https://t.co/dxud3zjkmg,neutral
2025-06-20 09:21:59,"Sui Chain revolutionizes virtual currency! With Move language, it enables super - fast, low - fee transactions. SUI tokens fuel this vibrant ecosystem. Dive in now to experience seamless crypto operations. #DoubleUp #IKA","sui chain revolutionizes virtual currency! with move language, it enables super - fast, low - fee transactions. sui tokens fuel this vibrant ecosystem. dive in now to experience seamless crypto operations. #doubleup #ika",neutral
2025-06-20 09:21:59,RT @MemHustleArmy: Okay… either this #gameplay video has some deep hidden meaning — or we just witnessed pure crypto cannibalism  Hamsters…,rt @memhustlearmy: okay… either this #gameplay video has some deep hidden meaning — or we just witnessed pure crypto cannibalism  hamsters…,neutral
2025-06-20 09:21:58,#BeMavryk #RWA #BTC https://t.co/eyU9zLuYIi,#bemavryk #rwa #btc https://t.co/eyu9zluyii,neutral
2025-06-20 09:21:58,#GIVEAWAY #Crypto #AMA #BNB https://t.co/7Dar4GRHbc,#giveaway #crypto #ama #bnb https://t.co/7dar4grhbc,neutral
2025-06-20 09:21:58,Unlock the hidden value in your home network! 🔑   The @openloop_so Sentry Node Extension is your gateway to effortless crypto rewards.   Just a few clicks to start your passive income journey.  $OPL #Openloop,unlock the hidden value in your home network! 🔑   the @openloop_so sentry node extension is your gateway to effortless crypto rewards.   just a few clicks to start your passive income journey.  $opl #openloop,neutral
2025-06-20 09:21:58,RT @MartiniGuyYT: BULLISH 🚨 EL SALVADOR BOUGHT MORE #BITCOIN TODAY FOR THEIR STRATEGIC RESERVE https://t.co/4Hc1XmcKvw,rt @martiniguyyt: bullish 🚨 el salvador bought more #bitcoin today for their strategic reserve https://t.co/4hc1xmckvw,neutral
2025-06-20 09:21:58,RT @Superp_xyz: 🚀 Thrilled to see our co-founder @mikesjcameron featured in @DecryptMedia   This article covers @SemlerSci bold Bitcoin str…,rt @superp_xyz: 🚀 thrilled to see our co-founder @mikesjcameron featured in @decryptmedia   this article covers @semlersci bold bitcoin str…,neutral
2025-06-20 09:21:58,RT @BlocksterCom: 💰 @bstrminers is expanding its cloud mining services to meet the soaring demand for passive #crypto income!   Flexible co…,rt @blockstercom: 💰 @bstrminers is expanding its cloud mining services to meet the soaring demand for passive #crypto income!   flexible co…,neutral
2025-06-20 09:21:58,RT @IZAKAYA_HOROYOI: ˗ˏˋ  一緒に学ぼう_📖✏️  ˎˊ˗  ／  🗒️代表的な仮想通貨 ＼  ・ビットコイン（BTC） ・イーサリアム（ETH） ・テザー（USDT） ・リップル（XPR） ・バイナンスコイン（BNB） ・ソラナ（SOL） ・USDCコ…,rt @izakaya_horoyoi: ˗ˏˋ  一緒に学ぼう_📖✏️  ˎˊ˗  ／  🗒️代表的な仮想通貨 ＼  ・ビットコイン（btc） ・イーサリアム（eth） ・テザー（usdt） ・リップル（xpr） ・バイナンスコイン（bnb） ・ソラナ（sol） ・usdcコ…,neutral
2025-06-20 09:21:58,"@Cebu47 Make sure you Join me on Telegram to stay ahead with Charts, Strategies, exclusive investment ideas and trading insights on #Bitcoin, #Crypto,   Don’t miss out—say Hi 👋 here to join! 👇👇  (@TheLomgImvest)","@cebu47 make sure you join me on telegram to stay ahead with charts, strategies, exclusive investment ideas and trading insights on #bitcoin, #crypto,   don’t miss out—say hi 👋 here to join! 👇👇  (@thelomgimvest)",neutral
2025-06-20 09:21:58,"@_ifycalex @satlayer Exactly, SatLayer’s approach really taps into the true power of Bitcoin without changing its nature. Your BTC doesn’t just sit. it works as security for bridges and dApps, earning you yield while keeping the system trustless 🔐  Restaking through BVS backed by Babylon feels like","@_ifycalex @satlayer exactly, satlayer’s approach really taps into the true power of bitcoin without changing its nature. your btc doesn’t just sit. it works as security for bridges and dapps, earning you yield while keeping the system trustless 🔐  restaking through bvs backed by babylon feels like",positive
2025-06-20 09:21:58,Welcome to next-gen DeFi @orbs_network   #Orbs #OrbsNetwork #dTWAP #Crypto #Meme #OrbsMeme https://t.co/hgdciVXQnR,welcome to next-gen defi @orbs_network   #orbs #orbsnetwork #dtwap #crypto #meme #orbsmeme https://t.co/hgdcivxqnr,positive
2025-06-20 09:21:58,#btcc取引所 BTCC取引所 BTCC取引所 BTCC取引所 BTCC取引🤯所 BTCC取😡引所 BTCC取引所 BTCC取引所 BTCC取引所 BTC💪C取引所 BTCC取引所 BT🥺CC取引所 BTCC取引所 BTCC取引所 BTCC取引所 BTCC取引所 BTCC取引所 BTCC取引所 BTCC取引所 BTCC取引所 BTCC取引所 BTCC取引所 💪BTCC取引所 BTCC取,#btcc取引所 btcc取引所 btcc取引所 btcc取引所 btcc取引🤯所 btcc取😡引所 btcc取引所 btcc取引所 btcc取引所 btc💪c取引所 btcc取引所 bt🥺cc取引所 btcc取引所 btcc取引所 btcc取引所 btcc取引所 btcc取引所 btcc取引所 btcc取引所 btcc取引所 btcc取引所 btcc取引所 💪btcc取引所 btcc取,neutral
2025-06-20 09:21:58,RT @Trinity_Pad: A resilient crypto portfolio starts with one thing: discipline.  Strategy &gt; hype.  Here’s the framework 👇  https://t.co/dE…,rt @trinity_pad: a resilient crypto portfolio starts with one thing: discipline.  strategy &gt; hype.  here’s the framework 👇  https://t.co/de…,neutral
2025-06-20 09:21:58,"@TedPillows Even in terms of liquidity, ETH can alone eat other chains in lunch alone","@tedpillows even in terms of liquidity, eth can alone eat other chains in lunch alone",neutral
2025-06-20 09:21:58,"RT @TheLenny_: I don’t stress over crypto payments anymore — ever since I switched to @MonicaNigeria, everything just flows. Smooth transac…","rt @thelenny_: i don’t stress over crypto payments anymore — ever since i switched to @monicanigeria, everything just flows. smooth transac…",negative
2025-06-20 09:21:58,in our channel we will provide you daily 3 to 8 Signals in a day 👇  https://t.co/5M5I24YSHg  join my telegram channel for more updates and signals Join my telegram channel  👇 https://t.co/5M5I24YSHg https://t.co/5M5I24YSHg  #GOLD #xauusd #Profit #FOREX #XAUUSD #Trump #btc*nnj,in our channel we will provide you daily 3 to 8 signals in a day 👇  https://t.co/5m5i24yshg  join my telegram channel for more updates and signals join my telegram channel  👇 https://t.co/5m5i24yshg https://t.co/5m5i24yshg  #gold #xauusd #profit #forex #xauusd #trump #btc*nnj,neutral
2025-06-20 09:21:58,"@masterchainzz @MagicNewton ""Thanks for the shoutout! @wisson_pump is the spot for exclusive Bitcoin insights and market analysis. Join now and take your crypto game to the next level!""","@masterchainzz @magicnewton ""thanks for the shoutout! @wisson_pump is the spot for exclusive bitcoin insights and market analysis. join now and take your crypto game to the next level!""",neutral
2025-06-20 09:21:58,"@Survivor7864 @PortaltoBitcoin Portal fixes Bitcoin DeFi by removing bridges, wrappers, and custody risks. It lets real BTC move freely and securely across chains","@survivor7864 @portaltobitcoin portal fixes bitcoin defi by removing bridges, wrappers, and custody risks. it lets real btc move freely and securely across chains",negative
2025-06-20 09:21:57,"Sorry, I only speak in Bitcoin code! https://t.co/F2EbsOrxjW","sorry, i only speak in bitcoin code! https://t.co/f2ebsorxjw",negative
2025-06-20 09:21:57,"RT @WuBlockchain: QCP: Markets remain cautious amid Middle East tensions, with gold retracing and oil stable around $75. BTC trades sideway…","rt @wublockchain: qcp: markets remain cautious amid middle east tensions, with gold retracing and oil stable around $75. btc trades sideway…",neutral
2025-06-20 09:21:57,@AzzakingW @Wrennounced Why is nobody allowed to question anything in crypto without it being FUD? 95% of the people in the space are fucking criminals. They just encourage us to sing and dance while the ships sink. Have a word with yourself.,@azzakingw @wrennounced why is nobody allowed to question anything in crypto without it being fud? 95% of the people in the space are fucking criminals. they just encourage us to sing and dance while the ships sink. have a word with yourself.,neutral
2025-06-20 09:21:57,RT @RomanReher: Bitcoin fixes this,rt @romanreher: bitcoin fixes this,neutral
